City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.18,84,100,9.76,TF,1686080890
1,blackmans bay,-43.0167,147.3167,10.97,92,7,3.07,AU,1686080891
2,carloforte,39.145,8.3058,20.31,76,23,1.67,IT,1686080891
3,yellowknife,62.456,-114.3525,10.29,100,100,6.17,CA,1686080775
4,banjar,-8.19,114.9675,24.39,91,58,1.99,ID,1686080892
5,tual,-5.6667,132.75,27.22,83,100,4.78,ID,1686080892
6,ulladulla,-35.35,150.4667,10.43,79,81,2.68,AU,1686080893
7,freetown,8.484,-13.2299,27.84,78,75,2.57,SL,1686080893
8,grytviken,-54.2811,-36.5092,2.45,95,80,1.73,GS,1686080894
9,san patricio,28.017,-97.5169,32.31,43,4,2.79,US,1686080895
10,ola,59.5833,151.2833,7.64,72,90,0.31,RU,1686080895
11,udachny,66.4167,112.4,1.36,80,7,2.97,RU,1686080896
12,waitangi,-43.9535,-176.5597,9.9,96,100,0.89,NZ,1686080896
13,mil'kovo,55.6078,37.7956,14.73,74,66,3.1,RU,1686080676
14,adamstown,-25.066,-130.1015,21.16,56,57,7.51,PN,1686080897
15,flying fish cove,-10.4217,105.6791,24.82,78,100,5.14,CX,1686080898
16,daru,-9.0763,143.2092,25.58,92,100,5.28,PG,1686080898
17,puerto ayora,-0.7393,-90.3518,27.98,94,79,4.47,EC,1686080898
18,east london,-33.0153,27.9116,17.06,36,0,2.51,ZA,1686080899
19,edinburgh of the seven seas,-37.0676,-12.3116,13.11,66,99,9.63,SH,1686080899
20,saipan,15.1355,145.701,27.58,100,75,6.69,MP,1686080900
21,nizhnesortymskiy,62.4397,71.7603,15.59,46,22,3.27,RU,1686080900
22,puerto natales,-51.7236,-72.4875,7.25,61,40,15.43,CL,1686080901
23,strezhevoy,60.7333,77.5889,17.81,68,74,3.03,RU,1686080901
24,darzab,35.9774,65.3783,22.74,17,16,2.97,AF,1686080902
25,ilebo,-4.3167,20.5833,23.28,85,23,0.34,CD,1686080902
26,klyuchi,52.2667,79.1667,22.2,48,56,3.49,RU,1686080903
27,flin flon,54.7682,-101.865,25.91,65,75,2.06,CA,1686080903
